ZIP_Code,Chain_Name,POI_Name,POI_Chain_ID,Foot_Traffic_Sum
75201,Walmart Supercenter,Walmart Marketplace,3201,14678
75201,Walmart Supercenter,Walmart Neighborhood Market,2201,15453
75201,Walmart Supercenter,Walmart Supercenter,1201,14883
75202,Walmart Supercenter,Walmart Marketplace,3202,14865
75202,Walmart Supercenter,Walmart Neighborhood Market,2202,14922
75202,Walmart Supercenter,Walmart Supercenter,1202,15427
75203,Walmart Supercenter,Walmart Marketplace,3203,15541
75203,Walmart Supercenter,Walmart Neighborhood Market,2203,15051
75203,Walmart Supercenter,Walmart Supercenter,1203,14160
75204,Walmart Supercenter,Walmart Marketplace,3204,14076
75204,Walmart Supercenter,Walmart Neighborhood Market,2204,15991
75204,Walmart Supercenter,Walmart Supercenter,1204,14838
75205,Walmart Supercenter,Walmart Marketplace,3205,15601
75205,Walmart Supercenter,Walmart Neighborhood Market,2205,14152
75205,Walmart Supercenter,Walmart Supercenter,1205,15209
75206,Walmart Supercenter,Walmart Marketplace,3206,15734
75206,Walmart Supercenter,Walmart Neighborhood Market,2206,15330
75206,Walmart Supercenter,Walmart Supercenter,1206,15184
75207,Walmart Supercenter,Walmart Marketplace,3207,14570
75207,Walmart Supercenter,Walmart Neighborhood Market,2207,15473
75207,Walmart Supercenter,Walmart Supercenter,1207,14788
75208,Walmart Supercenter,Walmart Marketplace,3208,15881
75208,Walmart Supercenter,Walmart Neighborhood Market,2208,15249
75208,Walmart Supercenter,Walmart Supercenter,1208,14029
75209,Walmart Supercenter,Walmart Marketplace,3209,14083
75209,Walmart Supercenter,Walmart Neighborhood Market,2209,14466
75209,Walmart Supercenter,Walmart Supercenter,1209,15958
75210,Walmart Supercenter,Walmart Marketplace,3210,15223
75210,Walmart Supercenter,Walmart Neighborhood Market,2210,14893
75210,Walmart Supercenter,Walmart Supercenter,1210,14978
75211,Walmart Supercenter,Walmart Marketplace,3211,14790
75211,Walmart Supercenter,Walmart Neighborhood Market,2211,14962
75211,Walmart Supercenter,Walmart Supercenter,1211,15772
75212,Walmart Supercenter,Walmart Marketplace,3212,15465
75212,Walmart Supercenter,Walmart Neighborhood Market,2212,15300
75212,Walmart Supercenter,Walmart Supercenter,1212,15187
75214,Walmart Supercenter,Walmart Marketplace,3214,14447
75214,Walmart Supercenter,Walmart Neighborhood Market,2214,14714
